route,bike_to_station_distance_meters,bike_to_station_distance_km,bike_to_station_duration_seconds,bike_to_station_duration_hours,transit_to_location_distance_meters,transit_to_location_distance_km,transit_to_location_distance_seconds,transit_to_location_distance_hours
var1uniquevalue,3192,3.192,715,0.1986111111111111,17872,17.872,3658,1.0161111111111112
var2uniquevalue,3232,3.232,596,0.16555555555555557,17872,17.872,3658,1.0161111111111112
var3uniquevalue,4109,4.109,777,0.21583333333333332,17872,17.872,3658,1.0161111111111112
var4uniquevalue,2025,2.025,350,0.09722222222222222,17872,17.872,3658,1.0161111111111112
var5uniquevalue,4981,4.981,1009,0.2802777777777778,17872,17.872,3658,1.0161111111111112
var6uniquevalue,2549,2.549,541,0.1502777777777778,17872,17.872,3658,1.0161111111111112
var7uniquevalue,7957,7.957,1591,0.4419444444444444,17872,17.872,3658,1.0161111111111112
var8uniquevalue,4299,4.299,784,0.21777777777777776,17872,17.872,3658,1.0161111111111112
var9uniquevalue,4701,4.701,923,0.2563888888888889,17872,17.872,3658,1.0161111111111112
var10uniquevalue,5010,5.01,985,0.27361111111111114,17872,17.872,3658,1.0161111111111112
var11uniquevalue,5712,5.712,1131,0.31416666666666665,17872,17.872,3658,1.0161111111111112
var12uniquevalue,5317,5.317,1075,0.2986111111111111,17872,17.872,3658,1.0161111111111112
var13uniquevalue,3018,3.018,655,0.18194444444444444,17872,17.872,3658,1.0161111111111112
var14uniquevalue,2801,2.801,619,0.17194444444444446,17872,17.872,3658,1.0161111111111112
var15uniquevalue,4214,4.214,822,0.22833333333333333,17872,17.872,3658,1.0161111111111112
var16uniquevalue,4543,4.543,885,0.24583333333333332,17872,17.872,3658,1.0161111111111112
var17uniquevalue,4151,4.151,856,0.23777777777777778,17872,17.872,3658,1.0161111111111112
var18uniquevalue,1619,1.619,321,0.08916666666666667,17872,17.872,3658,1.0161111111111112
var19uniquevalue,4598,4.598,919,0.25527777777777777,17872,17.872,3658,1.0161111111111112
var20uniquevalue,5228,5.228,1088,0.3022222222222222,17872,17.872,3658,1.0161111111111112
var21uniquevalue,5047,5.047,1002,0.2783333333333333,17872,17.872,3658,1.0161111111111112
var22uniquevalue,3390,3.39,701,0.1947222222222222,17872,17.872,3658,1.0161111111111112
var23uniquevalue,6178,6.178,1333,0.37027777777777776,17872,17.872,3658,1.0161111111111112
var24uniquevalue,1107,1.107,277,0.07694444444444444,17872,17.872,3658,1.0161111111111112
